,Chassis Angle,Chassis Heave
0,-1.8131,-1.0
1,-1.8131,-0.75
2,-1.8131,-0.5
3,-1.8131,-0.25
4,-1.8131,0.0
5,-1.8131,0.25
6,-1.8131,0.5
7,-1.8131,0.75
8,-1.8131,1.0
9,-1.4855125,-1.0
10,-1.4855125,-0.75
11,-1.4855125,-0.5
12,-1.4855125,-0.25
13,-1.4855125,0.0
14,-1.4855125,0.25
15,-1.4855125,0.5
16,-1.4855125,0.75
17,-1.4855125,1.0
18,-1.157925,-1.0
19,-1.157925,-0.75
20,-1.157925,-0.5
21,-1.157925,-0.25
22,-1.157925,0.0
23,-1.157925,0.25
24,-1.157925,0.5
25,-1.157925,0.75
26,-1.157925,1.0
27,-0.8303375,-1.0
28,-0.8303375,-0.75
29,-0.8303375,-0.5
30,-0.8303375,-0.25
31,-0.8303375,0.0
32,-0.8303375,0.25
33,-0.8303375,0.5
34,-0.8303375,0.75
35,-0.8303375,1.0
36,-0.50275,-1.0
37,-0.50275,-0.75
38,-0.50275,-0.5
39,-0.50275,-0.25
40,-0.50275,0.0
41,-0.50275,0.25
42,-0.50275,0.5
43,-0.50275,0.75
44,-0.50275,1.0
45,-0.1751625000000001,-1.0
46,-0.1751625000000001,-0.75
47,-0.1751625000000001,-0.5
48,-0.1751625000000001,-0.25
49,-0.1751625000000001,0.0
50,-0.1751625000000001,0.25
51,-0.1751625000000001,0.5
52,-0.1751625000000001,0.75
53,-0.1751625000000001,1.0
54,0.15242500000000003,-1.0
55,0.15242500000000003,-0.75
56,0.15242500000000003,-0.5
57,0.15242500000000003,-0.25
58,0.15242500000000003,0.0
59,0.15242500000000003,0.25
60,0.15242500000000003,0.5
61,0.15242500000000003,0.75
62,0.15242500000000003,1.0
63,0.48001249999999995,-1.0
64,0.48001249999999995,-0.75
65,0.48001249999999995,-0.5
66,0.48001249999999995,-0.25
67,0.48001249999999995,0.0
68,0.48001249999999995,0.25
69,0.48001249999999995,0.5
70,0.48001249999999995,0.75
71,0.48001249999999995,1.0
72,0.8075999999999999,-1.0
73,0.8075999999999999,-0.75
74,0.8075999999999999,-0.5
75,0.8075999999999999,-0.25
76,0.8075999999999999,0.0
77,0.8075999999999999,0.25
78,0.8075999999999999,0.5
79,0.8075999999999999,0.75
80,0.8075999999999999,1.0
